code,startTime,endTime,result,shareRatio,cumReturn(%),maxDrawdown(%),longestDrawDownDuration,tradeCount,profitableCount,unprofitableCount
300672,2017-07-12,2019-11-26,1593571.5481829995,0.6120080493536293,59.357154818299996,38.27959253406444,"742 days, 0:00:00",56,15,41
603083,2017-11-10,2019-11-26,476188.5762010002,-1.032507037715487,-52.38114237989993,63.04105252519007,"624 days, 0:00:00",57,14,43
300142,2010-11-12,2019-11-26,1514809.6133585002,0.11573645246320831,51.480961335850495,22.664742175850165,"1344 days, 0:00:00",212,63,149
600872,2000-11-21,2019-11-26,1037991.4032685005,-0.141539238357879,3.799140326849626,50.942866648057375,"3856 days, 0:00:00",517,170,347
002878,2017-06-06,2019-11-26,924638.6619810001,-0.3436274674448881,-7.5361338018999575,29.961798584285454,"806 days, 0:00:00",73,19,54
300656,2017-05-19,2019-11-26,762318.3072795009,-0.9127201387692884,-23.76816927204992,30.94742952499733,"743 days, 0:00:00",49,13,36
300681,2017-07-25,2019-11-26,986362.2087945001,-0.1900666032090979,-1.3637791205500016,31.367070255341456,"798 days, 0:00:00",53,9,44
000789,2000-11-21,2019-11-26,238015.22598549846,-0.45603517317212455,-76.19847740145025,81.8406368464278,"4542 days, 0:00:00",477,141,336
300740,2018-02-08,2019-11-26,656078.5040544996,-0.8491075035137897,-34.39214959454997,44.98513951178473,"621 days, 0:00:00",31,10,21
002903,2017-10-13,2019-11-26,743497.4993580013,-0.35739603469065395,-25.65025006419991,50.69505085891649,"536 days, 0:00:00",48,14,34
300736,2018-01-09,2019-11-26,468429.096033,-1.298361935133512,-53.15709039670003,62.32557837258612,"399 days, 0:00:00",39,6,33
603676,2017-07-21,2019-11-26,624517.5645359992,-0.643358905256743,-37.54824354639995,57.185971942859545,"686 days, 0:00:00",60,15,45
603638,2017-01-20,2019-11-26,1002734.7839304997,-0.18676390193650888,0.2734783930498752,20.861723427277575,"618 days, 0:00:00",68,22,46
300664,2018-01-05,2019-11-26,867848.3984865001,-0.4062911148530402,-13.215160151350036,29.81762674726502,"553 days, 0:00:00",43,14,29
603799,2015-01-29,2019-11-26,371431.7326804992,-0.42944337325901555,-62.85682673195012,74.84283517850191,"1643 days, 0:00:00",114,38,76
300673,2017-07-11,2019-11-26,710080.9243399997,-1.1447438301206718,-28.99190756600014,36.44323047962612,"817 days, 0:00:00",51,12,39
000830,2000-11-21,2019-11-26,988249.0769375042,-0.18225800371629317,-1.1750923062487817,53.668013614549956,"2696 days, 0:00:00",506,133,373
300571,2016-12-13,2019-11-26,1013972.1742240003,-0.037195767513155335,1.3972174223999545,34.1875967542946,"869 days, 0:00:00",73,22,51
603825,2017-08-02,2019-11-26,901526.4319500008,-0.36171822502733486,-9.847356804999919,26.226164575431042,"816 days, 0:00:00",43,13,30
603848,2017-12-01,2019-11-26,951743.3914885002,-0.2108011082039013,-4.825660851150049,37.71504715608873,"698 days, 0:00:00",48,15,33
300638,2017-04-13,2019-11-26,950467.4265645003,-0.08096245755216261,-4.953257343550033,35.41320361943094,"360 days, 0:00:00",78,26,52
300718,2017-11-06,2019-11-26,786607.3283405008,-0.9004746169388693,-21.339267165950005,29.48904694812197,"623 days, 0:00:00",56,13,43
300717,2017-11-06,2019-11-26,538703.9905074997,-1.6810330681489132,-46.12960094925008,48.91965508010158,"678 days, 0:00:00",50,5,45
300716,2017-11-09,2019-11-26,1054686.8589305002,0.0034376361938325164,5.468685893050074,28.835750702512748,"595 days, 0:00:00",42,14,28
601318,2007-03-01,2019-11-26,968176.4905825013,-0.13642137242575297,-3.182350941750145,60.37045539097814,"3689 days, 0:00:00",328,121,207
002050,2005-06-07,2019-11-26,778987.0728665058,-0.3579341574017596,-22.101292713349295,59.30040740186854,"1462 days, 0:00:00",372,114,258
000333,2013-09-18,2019-11-26,656365.857790499,-0.5505549795567539,-34.36341422095006,43.17764852189318,"1778 days, 0:00:00",174,51,123
300225,2011-05-31,2019-11-26,698363.5668909992,-0.36782797713222987,-30.163643310900113,60.498520817091226,"1635 days, 0:00:00",177,59,118
603871,2018-02-06,2019-11-26,882373.9425980005,-0.7430898984473444,-11.762605740199916,18.049893734271574,"623 days, 0:00:00",47,9,38
002451,2010-07-20,2019-11-26,846629.0134150017,-0.08623777634049404,-15.33709865849977,50.035034453833084,"1715 days, 0:00:00",203,66,137
300616,2017-03-07,2019-11-26,791049.367369,-1.437753855049446,-20.895063263099967,22.252668753120837,"762 days, 0:00:00",79,21,58
000703,2000-11-21,2019-11-26,1234422.2795845,-0.1523255715622205,23.442227958449656,42.880029220983225,"2675 days, 0:00:00",407,130,277
600104,2000-11-21,2019-11-26,740392.1316100025,-0.25523731609140654,-25.96078683900046,56.07597966169588,"3662 days, 0:00:00",548,171,377
300729,2017-12-01,2019-11-26,805393.181834,-0.7932054586925344,-19.460681816600044,26.474566463712858,"698 days, 0:00:00",53,17,36
603978,2017-08-07,2019-11-26,1359073.8696339994,0.45577464655203026,35.907386963400015,20.9568930014434,"495 days, 0:00:00",55,18,37
002597,2011-07-07,2019-11-26,704586.8951124991,-0.39813299740306407,-29.541310488750096,46.81279335375692,"1635 days, 0:00:00",220,69,151
600809,2000-11-21,2019-11-26,1431016.5100960012,-0.09248302150968377,43.10165100960073,51.42930160654608,"1815 days, 0:00:00",485,136,349
603286,2017-06-27,2019-11-26,1078202.1960254987,0.04155847623473597,7.8202196025499715,28.444572723936755,"623 days, 0:00:00",53,16,37
000651,2000-11-21,2019-11-26,1100559.7100925008,-0.222916281415141,10.055971009250996,40.401104382869384,"3675 days, 0:00:00",468,130,338
300663,2017-06-08,2019-11-26,800491.9326155005,-0.20844580915860075,-19.950806738449867,48.20662569809308,"447 days, 0:00:00",67,20,47
600900,2003-11-18,2019-11-26,908927.3140024974,-0.3478158994973517,-9.10726859974995,49.04941947219891,"4620 days, 0:00:00",427,138,289
002884,2017-07-11,2019-11-26,653017.2973065001,-0.9261836848556811,-34.69827026934988,38.95445946056682,"743 days, 0:00:00",58,11,47
603896,2017-05-10,2019-11-26,1198252.1423775004,0.21564842283506208,19.8252142377503,27.149238400592175,"547 days, 0:00:00",58,15,43
300136,2010-11-05,2019-11-26,557920.625493499,-0.42181483526892105,-44.20793745065015,61.78466781496493,"1628 days, 0:00:00",230,76,154
300122,2010-09-28,2019-11-26,687919.8618925003,-0.39868241029199586,-31.208013810750025,45.6676360341039,"1902 days, 0:00:00",221,65,156
300607,2017-02-09,2019-11-26,1042968.3788020008,-0.12399805909471656,4.296837880200588,15.24367298918462,"567 days, 0:00:00",71,20,51
300514,2017-04-26,2019-11-26,721290.8691479999,-0.4970467302350997,-27.870913085200122,38.56480090429223,"558 days, 0:00:00",64,12,52
300667,2017-06-19,2019-11-26,821564.4012800015,-0.30599651927443927,-17.843559871999826,39.86868703034984,"581 days, 0:00:00",63,17,46
600298,2000-11-21,2019-11-26,974429.6680309987,-0.2894170743718036,-2.55703319690066,39.970757504252155,"1889 days, 0:00:00",483,136,347
