code,cumReturn(%),endTime,longestDrawDownDuration,maxDrawdown(%),profitableCount,result,shareRatio,startTime,tradeCount,unprofitableCount
000717,-12.472952126499726,2018-05-28,"1169 days, 0:00:00",64.11437730468012,45,875270.4787350001,-0.1371899404116951,2011-05-31,166,121
300251,15.70700169819952,2018-05-28,"991 days, 0:00:00",39.32494953522597,58,1157070.0169819985,0.0361368764697299,2011-08-03,181,123
300176,40.17076812515079,2018-05-28,"802 days, 0:00:00",25.461343908274927,53,1401707.6812515007,0.11053762883769393,2011-05-31,138,85
600516,34.33322145875059,2018-05-28,"807 days, 0:00:00",39.48297905259392,63,1343332.2145875008,0.11797595150501144,2011-05-31,180,117
600678,100.36907672200014,2018-04-17,"840 days, 0:00:00",39.987432951102434,43,2003690.7672200028,0.44289894270512464,2011-05-31,123,80
002709,40.22520786360022,2018-05-28,"585 days, 0:00:00",34.0370697789196,41,1402252.0786360018,0.25565740823507666,2014-01-23,111,70
002016,30.298879095900343,2018-05-28,"929 days, 0:00:00",38.52645356781793,53,1302988.7909589987,0.07846376072162169,2011-05-31,159,106
000932,5.443114819999684,2018-05-28,"1251 days, 0:00:00",49.143715879166535,51,1054431.1482,-0.05281082528555746,2011-05-31,162,111
601003,70.62110705589947,2018-05-28,"821 days, 0:00:00",38.502424516348185,48,1706211.0705589987,0.2816544460825431,2011-05-31,155,107
600230,102.32962773130012,2018-05-28,"637 days, 0:00:00",36.74955912159674,51,2023296.2773129994,0.3517875909211223,2011-05-31,167,116
600309,10.059341723750137,2017-12-04,"873 days, 0:00:00",19.864208133167022,70,1100593.4172375002,-0.11558356029150689,2011-05-31,190,120
600802,-59.111951557399976,2018-05-28,"2497 days, 0:00:00",63.89437334016803,62,408880.4844259995,-0.490699476519783,2011-05-31,188,126
603799,-38.07403860759988,2018-05-28,"1096 days, 0:00:00",74.20867195624793,30,619259.6139240004,-0.21549726646918377,2015-01-29,80,50
300571,24.953774818800056,2018-05-28,"259 days, 0:00:00",22.15230858300398,13,1249537.7481879992,0.5556410534093671,2016-12-13,33,20
002626,53.32070065310048,2018-05-28,"783 days, 0:00:00",30.534902248710928,45,1533207.0065310006,0.20768675473788586,2011-10-28,155,110
600338,-35.85635647115007,2018-05-28,"1082 days, 0:00:00",64.25642799153935,48,641436.4352884991,-0.2750623161328653,2011-07-06,151,103
600809,-7.865516984850062,2018-05-28,"2226 days, 0:00:00",43.13759611488309,66,921344.830151499,-0.14566437461696324,2011-05-31,193,127
603595,17.05070328229983,2018-05-28,"127 days, 0:00:00",20.574619919547477,6,1170507.0328229992,0.5874825934608349,2017-07-12,21,15
002304,5.018751471799687,2018-05-28,"2142 days, 0:00:00",40.5838238846102,68,1050187.514717997,-0.09302001547534959,2011-05-31,211,143
002027,0.2292285330999233,2018-05-28,"920 days, 0:00:00",51.19447415867195,46,1002292.2853310016,-0.12234003396295144,2011-05-31,154,108
603260,6.206365334499964,2018-05-28,"77 days, 0:00:00",16.664273887564086,5,1062063.6533449995,0.3435496857148382,2017-10-30,16,11
300107,39.75042624699976,2018-05-28,"1131 days, 0:00:00",49.293995648552894,52,1397504.2624699997,0.12498502831593396,2011-05-31,168,116
002168,8.82785510764994,2018-05-28,"738 days, 0:00:00",46.63606707586119,38,1088278.5510765,0.030996435821944314,2011-05-31,132,94
600507,10.771936627850698,2018-05-28,"1135 days, 0:00:00",49.86623529811678,57,1107719.3662785022,-0.031130187266678374,2011-05-31,173,116
300554,25.290482840000283,2018-05-28,"106 days, 0:00:00",16.73487525423705,7,1252904.8284000005,0.7308563673501451,2017-04-21,24,17
603156,13.36767111280004,2018-05-28,"20 days, 0:00:00",6.146075284255253,4,1133676.7111280002,1.6501220971035053,2018-02-12,6,2
600995,-54.464412205200134,2018-05-28,"1413 days, 0:00:00",64.80959239982124,56,455355.8779480003,-0.6147709555341575,2011-05-31,175,119
000553,23.595279023149594,2018-05-28,"838 days, 0:00:00",19.72056060754808,49,1235952.7902314975,0.05483333388544455,2011-05-31,148,99
000848,-7.12049092275,2018-05-28,"1162 days, 0:00:00",42.18127177940418,59,928795.0907725012,-0.2839518739212368,2011-05-31,183,124
002001,54.46157076004925,2018-05-28,"988 days, 0:00:00",35.56667414754081,67,1544615.7076004993,0.17834775064880296,2011-05-31,215,148
600566,-31.667692891399724,2018-05-28,"1615 days, 0:00:00",48.25583680787501,61,683323.0710860003,-0.5017851243823768,2011-07-07,180,119
